cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_K_repair,max_K_repair,avg_K_repair,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
239,1,35.8906001,128.6050173,439264,PIPE_LM,6.381055326430383,34,1.6126762491444215,1.7526899383983574,1.6203976630760957,1.0,1.0,1.0,1.6,1.6,1.215840837813101,15.873015873015872,25.3968253968254,10.680138451029729,3.9746031746031742,3.9746031746031742,2.2193109194045357,12.69137420831549,12.69137420831549,4.74616576280005,0.1391,1.1933,0.25433804679980665,200,200,63.67966500836886,0.052885590894761,0.052885590894761,0.01977751004187591
240,2,35.8947208,128.6107649,73265,SPLY_LS,3.642445325671296,45,1.7218069815195074,1.7385626283367557,1.5631443814062456,1.0,1.0,1.0,1.0,1.6,1.0695155880739886,7.471264367816092,17.857142857142858,9.368109248114502,1.547126436781609,3.3000000000000003,1.9444042728962958,10.684765383525086,21.10882891509861,7.461155336064045,5.0771,8.1373,2.55447869091903,13,150,41.27510155450329,0.0445239515914182,0.0879615455306616,0.031091007343145634
241,2,35.89030775,128.60371045,212354,SPLY_LS,5.35885292789294,61,1.6529774127310062,1.862532511978097,1.5997753209384602,1.0,1.0,1.0,1.0,1.6,1.0834040129043974,7.471264367816092,17.857142857142858,8.480127989391159,1.547126436781609,2.840816326530613,1.7006481133630345,9.004023926559663,44.320708637351565,7.35967302191116,4.3344,9.828,2.6848764647635446,13,100,23.03943481064775,0.0375202179031704,0.1846866089272758,0.03066812546595488
242,2,35.8937121,128.6087386,212248,PIPE_LM,8.191308199599899,45,1.6326625598904858,1.9612594113620807,1.5843616789595754,1.0,1.0,1.0,1.2,1.2,1.1151460956060562,6.666666666666667,14.22222222222222,8.496953038877516,2.1333333333333337,2.5777777777777775,1.818143805652055,5.079539964652973,11.777237832507907,4.983165800163904,0.1705,5.003,1.2131396031851391,80,100,35.79254328251037,0.0211666970097071,0.049076338909952,0.02076510104757294
243,1,35.8944942,128.6004553,142171,SPLY_LS,5.126454407501646,39,1.7417932922655717,1.7417932922655717,1.6327259729730446,1.0,1.0,1.0,1.0,1.2,1.008958464609302,7.471264367816092,17.857142857142858,8.837036242179725,1.547126436781609,3.3000000000000003,1.7648579704285559,3.1668153023626777,8.703600972473817,3.3222524555935857,0.7805,4.1851,0.741985059908273,13,150,26.44956842201237,0.0131962777057103,0.036268340432347,0.01384399209508121
244,1,35.8943564,128.6046949,3941,SPLY_LS,4.773447037054794,45,1.6567556468172486,1.7526899383983574,1.6531636961771448,1.0,1.0,1.0,1.0,1.6,1.0080325060185735,7.471264367816092,20.0,7.80385403405798,1.547126436781609,3.3000000000000003,1.644342587680507,1.9111982159492704,7.415815044904918,2.97264799150006,0.1297,1.7254,0.5833763153754961,13,150,21.886303282530196,0.0079640585257714,0.030902072082871,0.012387172812980286
245,1,35.888788,128.6021374,144001,SPLY_LS,3.9490427558616434,34,1.7237234770704997,2.160793976728268,1.6745420614529507,1.0,1.0,1.0,1.0,1.6,1.115891930673744,7.471264367816092,20.0,8.335313045467084,1.547126436781609,3.9746031746031742,1.7739681505929685,5.233126785718812,12.69137420831549,4.357509212981881,1.9731,2.6145,0.9219366964745803,13,400,36.42197693210405,0.0218067009724295,0.338717356431557,0.023345134053044805
246,1,35.8921106,128.6071623,244344,SPLY_LS,5.12499918627667,47,1.26798083504449,1.7526899383983574,1.5776638425533447,1.0,1.0,1.0,1.0,1.6,1.0274582376750518,9.523809523809524,16.3265306122449,9.228533180615143,1.7523809523809524,3.9746031746031742,1.8328049044243027,2.679847694926548,12.765202636710075,3.1903168935190735,0.7845,2.6675,0.5863345249070838,20,200,31.353403041994124,0.0111670593371436,0.0531932376473027,0.013294210011138603
247,2,35.892426549999996,128.6063828,246309,SPLY_LS,9.628209246156338,51,1.717864476386037,1.7526899383983574,1.5152506844977218,1.0,1.0,1.0,1.0,1.6,1.0246179955014167,7.471264367816092,17.857142857142858,9.930831109214038,1.547126436781609,2.840816326530613,1.876057597647965,3.5088772611575627,9.752858851332356,4.243824296397127,1.0003,4.6252,1.2803401822186735,13,100,32.3071461246915,0.0146216669911066,0.0406406504764445,0.017684228034301593
248,1,35.8931034,128.5975124,71431,PIPE_LM,8.676096432628066,27,1.712662559890486,1.765284052019165,1.610712898192145,1.3,1.3,1.2999999999999998,1.4,1.4,1.1210810272539646,6.666666666666667,20.833333333333332,9.5394645166758,2.1333333333333337,4.966666666666667,2.100586429334736,8.360394191915855,19.35919431283192,6.85026689514358,0.2109,2.6413,0.8566828381773108,80,300,59.0168441621326,0.0348381806174229,0.0806707306612862,0.028545404665408003
249,1,35.8933408,128.6062061,107395,SPLY_LS,6.752025332294343,50,1.6518275154004107,1.7526899383983574,1.5384623309618293,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,11.428571428571429,8.507792035814836,1.547126436781609,2.466666666666667,1.7483605848656887,2.9845225330022607,6.9463299738447555,3.6135279670633547,0.7694,2.7144,0.9519596134842373,13,100,28.12672622211303,0.012436654621147,0.0289457043175097,0.015057751715151306
250,1,35.8935898,128.6044517,143182,PIPE_LM,4.483267994110968,52,1.7526899383983574,1.7526899383983574,1.627377784619722,1.0,1.0,1.0,1.6,1.6,1.081055255252649,6.666666666666667,14.285714285714286,7.785515916470037,2.1333333333333337,2.466666666666667,1.7306624024196449,6.6693469879793446,7.145312427849419,3.7460477387185684,0.0737,2.4829,0.7297961442350143,80,100,30.376362268858774,0.0277915023662593,0.0297748741524699,0.01560996822962716
251,3,35.89484863333333,128.60849043333334,4710,SPLY_LS,6.150245564266255,56,1.74217659137577,1.808213552361396,1.5938623509151726,1.0,1.0,1.0,1.0,1.2,1.073129559555125,7.471264367816092,14.22222222222222,8.876788388169556,1.547126436781609,3.3000000000000003,1.842712080569362,8.303667456793782,12.5323032848234,6.2394977079628005,3.6676,7.6894,2.018925794568943,13,150,34.88473909204585,0.0346017974758325,0.0522227344030233,0.026000298923966336
