CLUSTER_ID,REPAIR_COUNT,IS_MATCHED,MATCH_REASON,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
550.0,2.0,True,pipes_found,2.0,SPLY_LS,8.939341392305144,2.0,2.0,8.871768402662687,2,0,False
551.0,3.0,True,pipes_found,4.0,PIPE_LM,8.937770080354468,2.8,2.0,2.104582286852131,5,2,False
552.0,2.0,True,pipes_found,4.0,PIPE_LM,9.073050624907868,3.2,2.0,7.574760620924127,5,3,False
553.0,2.0,True,pipes_found,4.0,PIPE_LM,9.998158791011946,3.3333333333333335,4.0,6.47757742178511,3,2,False
554.0,2.0,True,pipes_found,2.0,SPLY_LS,5.908267479931095,2.0,2.0,5.908267479931095,1,0,False
555.0,2.0,True,pipes_found,2.0,PIPE_LM,8.917093820817756,2.0,2.0,8.917093820817756,1,0,False
557.0,3.0,True,pipes_found,4.0,PIPE_LM,9.780532344854082,3.0,2.0,8.48424105150127,3,2,False
558.0,2.0,True,pipes_found,2.0,SPLY_LS,8.367308040830071,2.0,2.0,8.367308040830071,1,0,False
559.0,2.0,True,pipes_found,2.0,SPLY_LS,7.712816050448304,2.0,2.0,7.712816050448304,1,0,False
561.0,2.0,True,pipes_found,4.0,PIPE_LM,9.298416880339126,2.6,2.0,7.867707389941619,5,2,False
562.0,2.0,True,pipes_found,4.0,PIPE_LM,9.910202267951933,2.6,2.0,7.7215816907335855,5,2,False
563.0,2.0,True,pipes_found,1.0,SPLY_LS,9.86501323837599,1.0,1.0,8.2948849311642,2,0,False
564.0,2.0,True,pipes_found,4.0,PIPE_LM,9.425604809518713,3.3333333333333335,4.0,6.97587619973258,6,4,False
565.0,2.0,True,pipes_found,4.0,PIPE_LM,7.2861969090418075,2.5,2.0,6.757295304859202,4,1,False
566.0,3.0,True,pipes_found,4.0,PIPE_LM,4.686053260018339,2.625,2.0,3.5256089834158315,8,4,False
567.0,2.0,True,pipes_found,4.0,PIPE_LM,8.209580605463636,3.0,2.0,4.129383408202139,4,2,False
568.0,2.0,True,pipes_found,4.0,PIPE_LM,7.438747045890958,3.0,2.0,5.983811860935481,4,2,False
569.0,2.0,True,pipes_found,4.0,PIPE_LM,7.520652816403607,2.25,2.0,5.0187002712195135,4,1,False
570.0,2.0,True,pipes_found,3.0,PIPE_LM,9.275176842027367,2.5,2.0,8.301003513992129,2,1,False
571.0,2.0,True,pipes_found,4.0,PIPE_LM,8.92018418318215,2.875,2.0,6.752074429935086,8,5,False
572.0,2.0,True,pipes_found,4.0,PIPE_LM,9.645523457002612,3.0,2.0,4.511057889534898,7,4,False
573.0,2.0,True,pipes_found,4.0,PIPE_LM,8.560468548367849,2.75,2.0,5.177025668922615,8,4,False
574.0,2.0,True,pipes_found,4.0,PIPE_LM,7.737914831003639,2.3333333333333335,3.0,4.662002812856384,6,2,False
575.0,2.0,True,pipes_found,2.0,SPLY_LS,9.946195630271,2.0,2.0,9.946195630271,1,0,False
