FTR_CDE,FTR_IDN,HJD_CDE,BJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,PIP_LBL,AVG_DEP,SYS_CHK,IQT_CDE,SHAPE_LEN,MNF
SA002,304468,5011056000,5011010600,336071164,6500000,20030618,SAA005,MOP032,15.0,1.14,JHT904,0.0,0.0,WT2021080329,2003/HI-3P/Ø15/L1.1/D,0.0,1,IQT004,1.14402770945,62
SA002,304540,5011056000,5011010600,336071175,6500000,20010628,SAA005,MOP032,15.0,1.05,JHT904,0.0,0.0,WT2021080329,2001/HI-3P/Ø15/L1.1/D,0.0,1,IQT004,1.05288541711,62
SA002,304007,5011051000,5011010100,336071175,6500000,19971211,SAA005,MOP032,15.0,11.34,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L11.3/D,0.0,1,IQT004,11.34479020530,62
SA002,304480,5011056000,5011010600,336071164,6500000,20120312,SAA005,MOP032,15.0,0.49,JHT904,0.0,0.0,WT2021080329,2012/HI-3P/Ø15/L0.5/D,0.0,1,IQT004,0.48900421266,62
SA002,304483,5011056000,5011010600,336071164,6500000,20020602,SAA005,MOP002,15.0,1.79,JHT903,0.0,0.0,WT2021080329,2002/SP/Ø15/L1.8/D,0.0,1,IQT904,1.79025605431,62
SA002,304485,5011056000,5011010600,336071164,6500000,20030618,SAA005,MOP032,15.0,2.05,JHT904,0.0,0.0,WT2021080329,2003/HI-3P/Ø15/L2.1/D,0.0,1,IQT004,2.05362842306,62
SA002,304014,5011056000,5011010600,336071164,6500000,20020602,SAA005,MOP002,15.0,2.41,JHT903,0.0,0.0,WT2021080329,2002/SP/Ø15/L2.4/D,0.0,1,IQT904,2.40518084143,62
SA002,304445,5011056000,5011010600,336071164,6500000,19880229,SAA005,MOP002,15.0,7.56,JHT903,0.0,0.0,WT2021080329,1988/SP/Ø15/L7.6/D,0.0,1,IQT904,7.56196732736,62
SA002,304447,5011056000,5011010600,336071174,6500000,20030618,SAA005,MOP032,15.0,36.05,JHT904,0.0,0.0,WT2021080329,2003/HI-3P/Ø15/L36.1/D,0.0,1,IQT004,36.04935021910,62
SA002,304452,5011056000,5011010600,336071164,6500000,19000101,SAA005,MOP032,15.0,1.4,JHT904,0.0,0.0,WT2021080329,1900/HI-3P/Ø15/L1.4/D,0.0,1,IQT004,1.39594661789,62
SA002,304195,5011056000,5011010600,336071165,6500000,19980602,SAA005,MOP032,25.0,2.06,JHT904,0.0,0.0,WT2021080329,1998/HI-3P/Ø25/L2.1/D,0.0,1,IQT004,2.05730940794,62
SA002,304206,5011056000,5011010600,336071164,6500000,19910614,SAA005,MOP002,15.0,2.81,JHT903,0.0,0.0,WT2021080329,1991/SP/Ø15/L2.8/D,0.0,1,IQT904,2.80605562311,62
SA002,304392,5011056000,5011010600,336071164,6500000,20001124,SAA005,MOP002,15.0,5.46,JHT903,0.0,0.0,WT2021080329,2000/SP/Ø15/L5.5/D,0.0,1,IQT904,5.45969946517,62
SA002,304401,5011056000,5011010600,336071174,6500000,20001120,SAA005,MOP032,15.0,4.54,JHT904,0.0,0.0,WT2021080329,2000/HI-3P/Ø15/L4.5/D,0.0,1,IQT004,4.54130244754,62
SA002,304457,5011056000,5011010600,336071174,6500000,20050822,SAA005,MOP032,15.0,1.11,JHT904,0.0,0.0,WT2021080329,2005/HI-3P/Ø15/L1.1/D,0.0,1,IQT004,1.10904002633,62
SA006,304308,5011059000,5011010700,336071165,6500000,19000101,SAA005,MOP032,15.0,5.87,JHT904,0.0,0.0,WT2021080329,1900/HI-3P/Ø15/L5.9/D,0.0,1,IQT004,5.87447707459,62
SA002,304029,5011056000,5011010600,336071165,6500000,19971211,SAA005,MOP032,15.0,8.28,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L8.3/D,0.0,1,IQT004,8.27854776790,62
SA002,304034,5011056000,5011010600,336071164,6500000,20020906,SAA005,MOP032,15.0,4.33,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L4.3/D,0.0,1,IQT004,4.33490144755,62
