FTR_CDE,FTR_IDN,CNT_NUM,SYS_CHK,STD_HOL,STD_VEL,PIP_LBL,IST_YMD,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,AVG_DEP,IQT_CDE,HJD_CDE,BJD_CDE,SHT_NUM,MNG_CDE,SAA_CDE,MOD_CDE,A_MOD_CDE,B_MOD_CDE,SHAPE_LEN
SA001,304388,WT2021080329,1,0.00,0.00,1900/DCIP/Ø150/L15.7/D0.9,19000101,MOP001,150.0,15.66,JHT002,0.69999999,1.29999995,0.94,IQT001,5011056000,5011010600,336071174,6500000,SAA004,,,,15.66078330920
SA001,304395,WT2021080329,1,0.00,0.00,1998/HI-3P/Ø80/L38.4/D,19980101,MOP032,80.0,38.44,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,38.44005367390
SA001,304398,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø80/L1.0/D,20030101,MOP032,80.0,1.0,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,0.99996579942
SA001,304411,WT2021080329,1,0.00,0.00,1900/SP/Ø50/L14.9/D,19000101,MOP002,50.0,14.85,JHT903,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071174,6500000,SAA908,,,,14.85181112260
SA001,304412,WT2021080329,1,0.00,0.00,1900/SP/Ø50/L80.5/D,19000101,MOP002,50.0,80.49,JHT903,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071175,6500000,SAA908,,,,80.48625439360
SA001,304415,WT2021080329,1,0.00,0.00,1900/SP/Ø80/L53.5/D,19000101,MOP002,80.0,53.52,JHT903,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071174,6500000,SAA908,,,,53.51516263000
SA001,304460,WT2021080329,1,0.00,0.00,1900/SP/Ø50/L47.5/D,19000101,MOP002,50.0,47.48,JHT903,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071164,6500000,SAA908,,,,47.47706440280
SA001,304493,WT2021080329,1,0.00,0.00,2012/HI-3P/Ø80/L0.3/D,20120101,MOP032,80.0,0.34,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,0.34460000000
SA001,304495,WT2021080329,1,0.00,0.00,1999/HI-3P/Ø80/L78.4/D,19990101,MOP032,80.0,78.44,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,78.44025090950
SA001,304514,WT2021080329,1,0.00,0.00,1999/HI-3P/Ø50/L0.5/D,19990101,MOP032,50.0,0.49,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,0.49376335425
SA001,304534,WT2021080329,1,0.00,0.00,2008/HI-3P/Ø80/L78.0/D,20080101,MOP032,80.0,77.96,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071174,6500000,SAA908,,,,77.95987514700
SA001,304536,WT2021080329,1,0.00,0.00,2001/HI-3P/Ø50/L103.1/D,20010101,MOP032,50.0,103.13,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071174,6500000,SAA908,,,,103.12605757800
SA001,304638,WT2021080329,1,0.00,0.00,2012/HI-3P/Ø80/L2.0/D,20120101,MOP032,80.0,2.02,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,2.02499298270
SA001,304640,WT2021080329,1,0.00,0.00,1996/HI-3P/Ø50/L0.7/D,19960101,MOP032,50.0,0.74,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,0.74094352012
SA001,304645,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø50/L1.8/D,20030101,MOP032,50.0,1.76,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071174,6500000,SAA908,,,,1.75674037069
SA001,304649,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø80/L0.9/D,20030101,MOP032,80.0,0.9,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071174,6500000,SAA908,,,,0.90213352116
SA001,304652,WT2021080329,1,0.00,0.00,2010/HI-3P/Ø50/L3.3/D,20100101,MOP032,50.0,3.33,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071174,6500000,SAA908,,,,3.32757332379
SA001,304662,WT2021080329,1,0.00,0.00,2002/HI-3P/Ø50/L43.0/D,20020101,MOP032,50.0,42.99,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,42.98989616930
SA001,304667,WT2021080329,1,0.00,0.00,2001/HI-3P/Ø50/L3.8/D,20010101,MOP032,50.0,3.82,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,3.81512168365
SA001,304673,WT2021080329,1,0.00,0.00,2012/HI-3P/Ø80/L1.0/D1.0,20120101,MOP032,80.0,1.0,JHT904,1.0,1.0,1.0,IQT001,5011056000,5011010600,336071165,6500000,SAA004,,,,0.99731639914
