FTR_IDN,ORIG_FTR_IDN,SUB_IDN,SEGMENT_LENGTH,IS_SEMICIRCULAR,CNT_JNT
3675_2,3675,2,0.6364225750339959,False,3
3675_3,3675,3,1.0996507533062603,False,3
3675_4,3675,4,2.146905305094711,False,1
177110_1,177110,1,9.327526856798512,False,4
177110_2,177110,2,0.9225114187306751,False,3
177110_3,177110,3,3.185995180325553,False,2
177110_4,177110,4,1.3273429131334047,False,2
48166_1,48166,1,12.680458179106916,False,4
48166_2,48166,2,2.4224463454765934,False,4
48166_3,48166,3,0.9312142416020159,False,3
250048_1,250048,1,1.4996846994578092,False,3
250048_2,250048,2,4.9789903953239785,False,3
250048_3,250048,3,7.436489342887436,False,4
250048_4,250048,4,9.810988216417632,False,3
250048_5,250048,5,2.6964839411897987,False,3
250048_6,250048,6,1.7176194098323874,False,4
250048_7,250048,7,8.904512616863473,False,4
250048_8,250048,8,10.526104462067083,False,4
250048_9,250048,9,2.826412131728965,False,4
250048_10,250048,10,4.190175693179492,False,4
250048_11,250048,11,17.47945696029592,False,4
250048_12,250048,12,10.386805406210025,False,3
250048_13,250048,13,3.5602686938328256,False,2
250048_14,250048,14,2.873454349067011,False,2
250048_15,250048,15,3.3366947049894615,False,3
250048_16,250048,16,5.103580471211282,False,3
