FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
38014,4235233,산격로9길,3.0,4
38015,,,,
38016,,,,
38017,,,,
38018,,,,
38019,,,,
38020,3145029,산격로,2.0,3
38021,4235255,연암공원로14길,6.0,4
38022,,,,
38023,,,,
38024,,,,
38025,,,,
38026,,,,
38027,,,,
38028,4235122,대구체육관로11길,6.0,4
38029,4235122,대구체육관로11길,6.0,4
38030,4235122,대구체육관로11길,6.0,4
38031,4235122,대구체육관로11길,5.0,4
38032,4235127,대구체육관로9길,6.0,4
38033,4235122,대구체육관로11길,6.0,4
38034,,,,
38035,4235127,대구체육관로9길,6.0,4
38036,4235127,대구체육관로9길,6.0,4
38037,,,,
38038,4235127,대구체육관로9길,6.0,4
38039,4235127,대구체육관로9길,6.0,4
38040,4235127,대구체육관로9길,6.0,4
38041,3145017,대구체육관로,30.0,3
38042,4235233,산격로9길,15.0,4
38047,4235226,산격로13길,2.0,4
38048,4235255,연암공원로14길,3.0,4
38049,3145033,연암공원로,4.0,3
38050,3145033,연암공원로,4.0,3
38051,,,,
38052,,,,
38053,,,,
38054,4235226,산격로13길,5.0,4
38055,,,,
38056,4235226,산격로13길,5.0,4
38057,4235226,산격로13길,5.0,4
38058,,,,
38059,,,,
38060,3145033,연암공원로,1.0,3
38061,3145033,연암공원로,1.0,3
38062,,,,
38063,4235255,연암공원로14길,6.0,4
38064,4235255,연암공원로14길,6.0,4
38065,4235235,산격로서9길,3.0,4
38066,,,,
38067,4235225,산격로11길,6.0,4
38068,4235255,연암공원로14길,6.0,4
38069,,,,
38070,4235234,산격로북9길,5.0,4
38071,4235234,산격로북9길,5.0,4
38072,,,,
38073,4235225,산격로11길,6.0,4
38074,4235225,산격로11길,6.0,4
38075,,,,
38076,,,,
38077,,,,
38078,,,,
38079,4235235,산격로서9길,4.0,4
38080,4235235,산격로서9길,3.0,4
38081,,,,
38082,4235235,산격로서9길,3.0,4
38083,4235234,산격로북9길,6.0,4
38084,,,,
38085,,,,
38086,4235235,산격로서9길,2.0,4
38087,4235251,연암공원로10길,3.0,4
38088,4235251,연암공원로10길,3.0,4
38089,4235251,연암공원로10길,3.0,4
38090,4235251,연암공원로10길,3.0,4
38092,4235251,연암공원로10길,4.0,4
38093,4235235,산격로서9길,3.0,4
38163,4235262,연암공원로32길,3.0,4
38214,4235262,연암공원로32길,3.0,4
38215,4235228,산격로17길,6.0,4
38216,4235259,연암공원로20길,6.0,4
38227,4235262,연암공원로32길,3.0,4
38228,4235262,연암공원로32길,3.0,4
38229,4235262,연암공원로32길,3.0,4
38230,4235262,연암공원로32길,3.0,4
38231,4235262,연암공원로32길,3.0,4
38232,4235262,연암공원로32길,2.0,4
38233,4235259,연암공원로20길,4.0,4
38234,4235259,연암공원로20길,3.0,4
38235,4235259,연암공원로20길,6.0,4
38236,4235259,연암공원로20길,4.0,4
38237,4235262,연암공원로32길,2.0,4
38238,4235262,연암공원로32길,3.0,4
38239,4235262,연암공원로32길,6.0,4
38240,4235262,연암공원로32길,4.0,4
38241,4235259,연암공원로20길,6.0,4
38242,4235259,연암공원로20길,6.0,4
38785,4235142,대학로13길,5.0,4
38786,4235143,대학로15길,5.0,4
38787,4235143,대학로15길,5.0,4
38788,4235143,대학로15길,5.0,4
38789,,,,
38790,4235145,대학로23길,7.0,4
38791,,,,
38792,4235231,산격로6길,2.0,4
38793,4235143,대학로15길,5.0,4
38794,4235142,대학로13길,5.0,4
38795,4235232,산격로8길,6.0,4
38796,4235232,산격로8길,6.0,4
38797,4235143,대학로15길,5.0,4
38799,4235143,대학로15길,5.0,4
38801,,,,
38804,4235143,대학로15길,5.0,4
38805,4235143,대학로15길,5.0,4
38806,4235144,대학로17길,8.0,4
38808,,,,
38809,,,,
38810,4235144,대학로17길,8.0,4
38811,4235144,대학로17길,8.0,4
38812,4235144,대학로17길,8.0,4
38813,4235144,대학로17길,8.0,4
38815,4235133,대동로6길,6.0,4
38817,4235133,대동로6길,6.0,4
38819,4235133,대동로6길,6.0,4
38820,,,,
38821,,,,
38822,4235145,대학로23길,7.0,4
38823,,,,
38824,4235145,대학로23길,7.0,4
38825,,,,
38826,,,,
38827,,,,
38830,,,,
38831,,,,
38832,3145029,산격로,14.0,3
38833,,,,
38835,4235147,대학로9길,6.0,4
38836,3145021,대학로,35.0,3
38837,3145021,대학로,6.0,3
38839,3145021,대학로,2.0,3
38840,3145021,대학로,6.0,3
38841,3145021,대학로,2.0,3
38842,3145021,대학로,6.0,3
38843,3145021,대학로,35.0,3
38844,4235147,대학로9길,2.0,4
38845,4235142,대학로13길,3.0,4
38846,4235147,대학로9길,6.0,4
38847,,,,
38848,,,,
38849,,,,
38850,,,,
38851,4235231,산격로6길,6.0,4
38852,4235147,대학로9길,2.0,4
38854,4235147,대학로9길,2.0,4
38855,,,,
38857,4235147,대학로9길,2.0,4
38859,4235142,대학로13길,5.0,4
38860,,,,
38861,3145029,산격로,14.0,3
38862,4235147,대학로9길,6.0,4
38864,4235147,대학로9길,6.0,4
38865,4235147,대학로9길,1.0,4
38866,4235147,대학로9길,6.0,4
38867,,,,
38868,4235232,산격로8길,6.0,4
38869,,,,
38870,4235147,대학로9길,6.0,4
38871,4235147,대학로9길,6.0,4
38872,4235147,대학로9길,6.0,4
38873,4235230,산격로1길,5.0,4
38874,4235280,연암로4길,8.0,4
38875,,,,
38879,4235280,연암로4길,8.0,4
38880,4235280,연암로4길,8.0,4
38881,4235280,연암로4길,8.0,4
38882,,,,
38883,4235272,연암로2길,2.0,4
38884,4235280,연암로4길,1.0,4
38885,4235280,연암로4길,1.0,4
38886,,,,
38887,,,,
38888,4235280,연암로4길,6.0,4
38889,,,,
38890,4235280,연암로4길,8.0,4
38891,4235280,연암로4길,2.0,4
38892,4235280,연암로4길,2.0,4
38893,3145021,대학로,35.0,3
38894,3145021,대학로,35.0,3
38895,,,,
38896,4235272,연암로2길,6.0,4
38897,4235272,연암로2길,3.0,4
38898,4235272,연암로2길,4.0,4
38899,4235280,연암로4길,4.0,4
38900,4235280,연암로4길,2.0,4
38901,4235280,연암로4길,2.0,4
38902,4235280,연암로4길,2.0,4
38903,4235280,연암로4길,8.0,4
38905,3145017,대구체육관로,13.0,3
38907,3145017,대구체육관로,13.0,3
