FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
245471,3145029,산격로,14.0,3
245472,4235233,산격로9길,15.0,4
245473,4235255,연암공원로14길,6.0,4
245474,3145029,산격로,14.0,3
245475,4235225,산격로11길,6.0,4
245516,4235255,연암공원로14길,6.0,4
245517,4235255,연암공원로14길,6.0,4
245518,4235226,산격로13길,7.0,4
245520,4235226,산격로13길,4.0,4
245521,4235226,산격로13길,7.0,4
245687,4235228,산격로17길,6.0,4
245698,,,,
246252,4235144,대학로17길,8.0,4
246253,,,,
246289,4235147,대학로9길,6.0,4
246290,3145029,산격로,14.0,3
246291,4235147,대학로9길,6.0,4
246292,3145029,산격로,14.0,3
246293,3145021,대학로,35.0,3
246342,4235124,대구체육관로2길,6.0,4
246343,3145017,대구체육관로,30.0,3
246344,3145021,대학로,35.0,3
246345,4235272,연암로2길,6.0,4
246346,4235121,대구체육관로10길,6.0,4
246347,,,,
246348,,,,
246349,,,,
246350,3145017,대구체육관로,30.0,3
246553,4235235,산격로서9길,6.0,4
246554,3145017,대구체육관로,30.0,3
246575,3007005,동북로,35.0,3
250048,4235144,대학로17길,8.0,4
250103,4235145,대학로23길,5.0,4
255636,4235131,대동로4길,6.0,4
255745,4235134,대동로8길,3.0,4
261304,,,,
265864,3145021,대학로,35.0,3
267360,,,,
267500,4235142,대학로13길,5.0,4
277675,3145033,연암공원로,3.0,3
278189,4235147,대학로9길,6.0,4
278257,4235147,대학로9길,6.0,4
298004,4235264,연암공원로6길,8.0,4
298005,4235264,연암공원로6길,8.0,4
298006,3145033,연암공원로,3.0,3
298007,4235264,연암공원로6길,3.0,4
298008,4235264,연암공원로6길,8.0,4
298009,,,,
299649,3145033,연암공원로,8.0,3
299650,3145033,연암공원로,8.0,3
299651,3145033,연암공원로,8.0,3
299653,3145033,연암공원로,10.0,3
299654,3145033,연암공원로,10.0,3
299675,3145033,연암공원로,10.0,3
299677,3145033,연암공원로,10.0,3
299696,3145034,연암로,25.0,3
299697,3145034,연암로,25.0,3
299699,3145034,연암로,25.0,3
299700,3145034,연암로,25.0,3
299726,3145034,연암로,25.0,3
299727,3145034,연암로,25.0,3
299728,3145034,연암로,25.0,3
302085,4235267,연암로12길,8.0,4
308430,4235267,연암로12길,8.0,4
308699,3145034,연암로,3.0,3
308751,4235259,연암공원로20길,6.0,4
308754,3145033,연암공원로,10.0,3
308755,3145033,연암공원로,10.0,3
308756,3145033,연암공원로,10.0,3
308757,4235259,연암공원로20길,6.0,4
308758,4235259,연암공원로20길,6.0,4
308843,,,,
308844,4235259,연암공원로20길,4.0,4
308845,4235259,연암공원로20길,6.0,4
308847,4235259,연암공원로20길,4.0,4
308849,4235259,연암공원로20길,6.0,4
308850,4235259,연암공원로20길,6.0,4
308891,4235254,연암공원로13길,4.0,4
308892,4235252,연암공원로11길,6.0,4
308893,4235257,연암공원로17길,4.0,4
308923,3145033,연암공원로,10.0,3
308925,3145033,연암공원로,10.0,3
308926,4235252,연암공원로11길,6.0,4
308927,4235252,연암공원로11길,6.0,4
308929,4235252,연암공원로11길,4.0,4
308930,4235252,연암공원로11길,4.0,4
308932,4235254,연암공원로13길,4.0,4
308935,4235254,연암공원로13길,4.0,4
308936,4235252,연암공원로11길,6.0,4
308937,4235252,연암공원로11길,6.0,4
308955,4235252,연암공원로11길,6.0,4
308956,4235252,연암공원로11길,6.0,4
308957,4235252,연암공원로11길,6.0,4
308958,3145033,연암공원로,10.0,3
308959,4235254,연암공원로13길,4.0,4
308960,4235254,연암공원로13길,4.0,4
308961,4235254,연암공원로13길,4.0,4
308962,4235254,연암공원로13길,6.0,4
310508,4235259,연암공원로20길,2.0,4
310513,4235259,연암공원로20길,6.0,4
310731,,,,
310733,,,,
310734,,,,
310736,,,,
310737,,,,
313835,3145021,대학로,35.0,3
316639,4235142,대학로13길,5.0,4
316651,4235224,산격로10길,8.0,4
316652,4235131,대동로4길,6.0,4
316654,4235146,대학로25길,6.0,4
316656,4235224,산격로10길,8.0,4
316859,4235225,산격로11길,6.0,4
319483,4235254,연암공원로13길,6.0,4
324619,3145033,연암공원로,10.0,3
324620,4235233,산격로9길,15.0,4
324622,,,,
324623,3145033,연암공원로,10.0,3
324624,3145033,연암공원로,10.0,3
324625,3145033,연암공원로,10.0,3
324765,3145033,연암공원로,10.0,3
324766,4235260,연암공원로28길,6.0,4
324767,4235262,연암공원로32길,6.0,4
