repair_id,복구타입,위도,경도,주소,작업일시,구군
138,지상누수,35.8929585,128.6094276,북구 대학로 85-1 (산격동) / 1341-1번지,,북구
139,지상누수,35.8960729,128.6121391,북구 대학로 129-12 (산격동) / 1279-13번지,,북구
140,지상누수,35.8947157,128.6090842,북구 산격로10길 34-2 (산격동) / 1313-16번지,,북구
141,지상누수,35.8975146,128.6045759,북구 연암공원로32길 64-6 (산격동) / 1197-33번지,2008-08-22 09:50:00,북구
142,지상누수,35.8948747,128.6014267,북구 연암공원로10길 31-16 (산격동) / 1437-106번지,,북구
143,지상누수,35.8965185,128.6077883,북구 대학로13길 54 (산격동) / 1249-1번지,,북구
144,지상누수,35.8938663,128.6102529,북구 대학로 99-2 (산격동) / 1329-1번지,2008-11-20 20:14:00,북구
145,지상누수,35.8912764,128.5969392,북구 연암로 60-2 (산격동) / 993-6번지,2009-02-05 12:09:00,북구
146,지상누수,35.901451,128.6043367,북구 동북로 92 (산격동) / 517번지,2008-12-21 15:30:00,북구
147,지상누수,35.8968513,128.6079403,북구 대동로8길 28-2 (산격동) / 1251-7번지,2008-12-12 16:57:00,북구
148,지상누수,35.8948146,128.609921,북구 산격로10길 42-1 (산격동) / 1309번지,,북구
149,지상누수,35.8957106,128.6087856,북구 대학로25길 34-13 (산격동) / 1311-12번지,,북구
150,지상누수,35.890979,128.6032946,북구 산격로1길 31-4 (산격동) / 1404-152번지,2009-01-13 13:40:00,북구
151,지상누수,35.8952327,128.6046783,북구 연암공원로14길 55 (산격동) / 1422-17번지,2009-01-28 10:55:00,북구
152,지상누수,35.8943617,128.5993061,북구 연암공원로10길 8 (산격동) / 1124-10번지,,북구
153,지상누수,35.8960952,128.6100066,북구 산격로14길 43 (산격동) / 1305-7번지,,북구
154,지상누수,35.8932193,128.6093998,"북구 대학로23길 31-1, 리앤차이 (산격동) / 1335-6번지",2009-02-12 15:12:00,북구
155,지상누수,35.8966337,128.6042461,북구 연암공원로14길 37-2 (산격동) / 1223-14번지,2009-02-17 17:42:00,북구
156,지상누수,35.8975383,128.6066399,북구 대동로 2-23 (산격동) / 1234-6번지,2008-12-11 13:03:00,북구
157,지상누수,35.8902805,128.6040445,북구 연암로2길 53 (산격동) / 1498-128번지,2008-12-09 12:00:00,북구
158,지상누수,35.8975568,128.6076141,북구 대동로4길 6-4 (산격동) / 1241-19번지,2009-07-04 14:45:00,북구
159,지상누수,35.8955517,128.6118181,북구 대학로25길 6 (산격동) / 1276-11번지,,북구
160,지상누수,35.8956685,128.6028173,"북구 산격로북9길 7, 혜성빌라 (산격동) / 1437-48번지",2009-06-10 12:51:00,북구
161,지상누수,35.8941155,128.607839,북구 대학로13길 26-2 (산격동) / 1326-39번지,2009-11-20 20:10:00,북구
162,지상누수,35.8948698,128.6010136,북구 산격로서9길 17-5 (산격동) / 1435-21번지,,북구
163,지상누수,35.8963045,128.6079341,북구 대학로13길 52-2 (산격동) / 1249-8번지,2009-04-27 17:30:00,북구
164,지상누수,35.8948747,128.6014267,북구 연암공원로10길 31-16 (산격동) / 1437-106번지,2008-11-05 11:00:00,북구
165,지상누수,35.8965185,128.6077883,북구 대학로13길 54 (산격동) / 1249-1번지,2008-11-17 16:31:00,북구
166,지상누수,35.8949517,128.5991657,북구 연암공원로10길 3-10 (산격동) / 1148-4번지,2009-06-18 14:40:00,북구
167,지상누수,35.8968916,128.6001731,북구 연암공원로 71 (산격동) / 1182-5번지,2009-04-30 16:50:00,북구
168,지상누수,35.8970647,128.6098819,"북구 대동로 30, 낙천사우나 (산격동) / 1266-1번지",2009-04-08 13:20:00,북구
169,지상누수,35.8941678,128.6048861,북구 산격로 39-3 (산격동) / 1425-29번지,2009-05-01 12:18:00,북구
170,지상누수,35.897077,128.6077305,북구 대학로13길 60 (산격동) / 1251-16번지,2009-11-14 15:40:00,북구
171,지상누수,35.8982773,128.6052341,북구 산격로17길 9-1 (산격동) / 1222-44번지,2009-01-05 12:11:00,북구
172,지상누수,35.8930297,128.5985357,북구 연암공원로8길 15-10 (산격동) / 1099-25번지,2009-07-30 18:30:00,북구
