CLUSTER_ID,REPAIR_COUNT,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
175.0,3.0,4,PIPE_LM,13.313838512776325,2.2,2,8.156810139203618,10,3,False
177.0,2.0,4,PIPE_LM,26.683814956377294,2.6315789473684212,1,7.118416747615147,57,27,False
178.0,3.0,4,PIPE_LM,9.612700355341785,2.6666666666666665,2,4.577643991172215,39,22,False
179.0,2.0,4,PIPE_LM,26.681570621052778,2.6538461538461537,2,12.529384708956002,26,12,False
180.0,2.0,4,PIPE_LM,19.80062529991742,2.411764705882353,2,6.281655388230902,34,14,False
181.0,2.0,6,PIPE_LM,8.788776958435571,2.9642857142857144,1,7.493768831269128,28,20,False
182.0,2.0,4,PIPE_LM,27.778507235792457,2.5294117647058822,1,5.692890777006618,34,15,False
183.0,2.0,5,PIPE_LM,12.907574066710378,2.9210526315789473,4,7.002148558219233,38,21,False
184.0,2.0,4,PIPE_LM,22.347111679228103,2.5833333333333335,2,6.3981069046973875,48,27,False
185.0,2.0,4,PIPE_LM,29.311235917624177,2.6744186046511627,2,6.193627546818328,43,25,False
186.0,3.0,4,PIPE_LM,16.78532147243288,2.658536585365854,3,6.586590161541537,41,24,False
187.0,3.0,4,PIPE_LM,28.170280606207356,2.5813953488372094,4,8.144078817823003,43,19,False
188.0,2.0,4,PIPE_LM,15.30840137304999,2.676470588235294,1,7.177281906042183,34,20,False
189.0,2.0,4,PIPE_LM,12.03657497429275,2.7857142857142856,3,7.010846816502354,42,25,False
190.0,2.0,6,PIPE_LM,15.058144976835159,2.857142857142857,3,8.076884254578186,42,27,False
191.0,2.0,4,PIPE_LM,15.831377961175077,3.0,2,7.037232285920311,39,27,False
192.0,2.0,4,PIPE_LM,19.333870109016285,2.690909090909091,3,7.315164322743953,55,30,False
193.0,2.0,4,PIPE_LM,8.250244189384745,2.7906976744186047,3,2.1639415115066645,43,26,False
194.0,2.0,4,PIPE_LM,27.963819081392284,2.5789473684210527,1,6.638525828295344,57,24,False
195.0,2.0,4,PIPE_LM,20.0049806763467,2.789473684210526,4,6.8872230846322084,38,22,False
196.0,3.0,4,PIPE_LM,28.879707349451813,2.6779661016949152,2,3.5013648064555642,59,30,False
197.0,2.0,5,PIPE_LM,28.772642079528207,2.5641025641025643,2,8.993388575497356,39,17,False
198.0,3.0,6,PIPE_LM,17.376466055272004,2.7333333333333334,2,7.723374903948213,45,23,False
199.0,2.0,4,PIPE_LM,20.91330649533166,2.566666666666667,2,7.998310098297824,60,31,False
