FTR_IDN,lithoidx,lithoname,K_SOIL
36474,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36475,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36476,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36477,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36478,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36479,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36481,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36482,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36483,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36484,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36485,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36487,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36488,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36489,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36490,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36491,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36492,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36493,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36494,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36929,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
36936,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
