cluster_id,repair_count,avg_lat,avg_lon,nearest_d_final,nearest_pipe,nearest_type,nearest_dist,max_d_final,max_d_pipe,avg_d_final,pipe_count,d_final_quartile
310,1,35.8980786,128.6072778,0.0070366631070351,211430,SPLY_LS,7.133562405572021,0.007064389896649,106543,0.007049518927946119,2,Q2
311,1,35.8981994,128.60719,0.0072396045671509,245422,SPLY_LS,4.807481222219716,0.0072396045671509,245422,0.007239604567150901,1,Q2
312,3,35.8954183,128.6116362,0.0174250970661498,411762,PIPE_LM,7.48569029235383,0.0174250970661498,411762,0.010378388364527773,3,Q4
313,2,35.8965019,128.6100277,0.0070487790151017,211341,SPLY_LS,7.554813542231045,0.0070487790151017,211341,0.0070487790151017,1,Q2
314,1,35.8896873,128.6025124,0.0073360658352197,107442,SPLY_LS,7.019851200520803,0.0086727067930227,212366,0.007927670147092615,2,Q3
315,1,35.897229,128.6064352,0.0080084221336272,72402,SPLY_LS,6.897635401509447,0.0080084221336272,72402,0.0080084221336272,1,Q3
316,1,35.8966676,128.6094023,0.0070972426473681,3816,SPLY_LS,7.270566514339511,0.0124682733736618,143126,0.008753976910069376,3,Q3
317,1,35.8929835,128.5978688,0.0095895897858754,2823,SPLY_LS,7.547683706481327,0.0095895897858754,2823,0.00937941523250254,2,Q3
318,2,35.8896752,128.6029024,0.0069499877647123,107437,SPLY_LS,9.964890181737893,0.0069499877647123,107437,0.0069499877647123,1,Q1
319,1,35.8969769,128.6102656,0.0069199309927779,72322,SPLY_LS,8.383363740890415,0.0069199309927779,72322,0.0069199309927779,1,Q1
321,1,35.8924459,128.6078682,0.0067792000606195,246255,SPLY_LS,7.9987476944222475,0.0067792000606195,246255,0.0067792000606195,1,Q1
322,1,35.8931545,128.605574,0.006925056953883,4760,SPLY_LS,7.906025892370286,0.0073693845824029,143954,0.007128082568886147,2,Q2
323,1,35.8930412,128.6055699,0.0073693845824029,143954,SPLY_LS,6.243226726720229,0.0073693845824029,143954,0.007358450803103175,2,Q2
324,2,35.8966832,128.60572915,0.0069504537611764,106526,SPLY_LS,6.83581206487968,0.0071766950444973,3869,0.007051773088361184,3,Q2
325,1,35.8915586,128.6029318,0.0080936595867312,38908,SPLY_LS,5.521165285494758,0.0081859268866232,38907,0.007697908391776574,4,Q3
326,1,35.8902302,128.6035788,0.0065806855669126,246362,SPLY_LS,5.800493705058292,0.0069194649963138,107429,0.006283021721018737,3,Q1
