rank,lithoidx,lithoname,count,total_area,avg_area,total_length,unique_ages,ages,map_count,maps
206,Ks,진안층군사암및이암,18,8632484.474067241,479582.4707815134,48603.55848278601,1,중생대 백악기(18),1,광주
207,Qtb(I)(T),제4기 조면현무암(I),16,8299370.1890218,518710.6368138625,43623.004505398,1,신생대 제4기(16),1,제주
208,Knuh,우항리층,4,8275758.219584,2068939.554896,38512.33221893,1,중생대 백악기(4),1,목포
209,Jda,휘록암,4,8051393.542199999,2012848.3855499998,27781.19362924,1,중생대 쥐라기(4),1,대전
210,Kd5,경상누층군영동층군원촌리층,2,8032671.595944,4016335.797972,33373.72557948,1,중생대 백악기(2),1,안동
211,Kd1,경상누층군영동층군만계리층,5,7763594.884264,1552718.9768528,32974.37055854,1,중생대 백악기(5),2,"대전, 안동"
212,Qtb(VI)(S),제4기 조면현무암(VI),20,7760271.513142999,388013.57565714995,45466.77179996001,1,신생대 제4기(20),1,제주
213,Kyjp,경상계층군 유천층군 장평리층,6,6816883.29913832,1136147.2165230534,29785.024614203,1,중생대 백악기(6),1,여수
214,Kcv,경상루층군초평층군화산암류,6,6738276.430661,1123046.0717768334,36579.90190781,1,중생대 백악기(6),1,대전
215,PCEkpgrgn,박달령화강편마암,1,6566610.49338,6566610.49338,18291.4149192,1,선캄브리아시대(1),1,강릉
216,Knhd,홍도층,15,6437927.1337365005,429195.1422491,25152.377926107998,1,중생대 백악기(15),1,목포
217,Kjss,경상계층군 초평층군 사암및셰일,2,6408235.61798,3204117.80899,13939.15715891,1,중생대 백악기(2),1,남천점
218,s,경기편마암복합체 호상편마암,1,6099535.8491,6099535.8491,14149.0015436,1,선캄브리아시대(1),1,대전
219,Pm,평안층군마로층,1,5564951.34576,5564951.34576,23328.878316,1,고생대 페름기(1),1,대전
220,Qt(S),제4기 조면암,16,5058847.5521679,316177.97201049374,35020.695531221994,1,신생대 제4기(16),1,제주
221,Kncg,진안층군역암,1,3875692.48181,3875692.48181,10155.5657755,1,중생대 백악기(1),1,광주
222,Khsv,퇴적암 및 화산암,3,3717676.874339,1239225.6247796665,16272.81280412,1,중생대 백악기(3),1,강릉
223,PCEju,선캠브리아시대 백령층군 중화동층,2,3599537.3349,1799768.66745,20587.98482063,1,선캄브리아시대(2),1,진남포
224,Qtb(II)(S),제4기 조면현무암(II),8,3522205.913958,440275.73924475,21612.457079289998,1,신생대 제4기(8),1,제주
225,Ols,조선루층군대석회암층군석회암대,1,3152293.33179,3152293.33179,27043.4396968,1,고생대 오르도비스기~캄브리아기(1),1,대전
226,Qtb(VIII)(T),제4기 조면현무암(VIII),1,3035622.59873,3035622.59873,10197.6115783,1,신생대 제4기(1),1,제주
227,Kyss,경상계층군 유천층군 선소층,1,2788584.78265,2788584.78265,16196.3214084,1,중생대 백악기(1),1,여수
228,Kcl,경상계층군 초평층군 하부초평층군,1,2763484.47364,2763484.47364,7797.89734242,1,중생대 백악기(1),1,서울
229,Jscs,대동층군 역암 및 사암,2,2686218.01105,1343109.005525,12564.29271634,1,중생대 쥐라기(2),1,서울
230,Kchv,경상루층군천수만층군화산암류,7,2373148.0195782003,339021.14565402863,19608.162493372,1,중생대 백악기(7),1,대전
231,Qtb(VIII)((T),제4기 조면현무암(VIII),1,2348272.72704,2348272.72704,7646.2285193,1,신생대 제4기(1),1,제주
232,Kgd,화강섬록암,2,2306630.7126390003,1153315.3563195001,9519.85514077,1,중생대 백악기(2),1,강릉
