NO,접수번호,부서,정산년월,지시번호,공사명,공사유형,탐사구분,주소,접수일시,작업시작,작업종료,용도구분,구군,중구역번호,소구역번호,도로구분,누수관경,누수관종,누수부위,누수원인,손괴원인,누수시간,누수량,용수구분,GIS 입력,위도,경도,epsg5179위도,epsg5179경도
70,20211209-0122,북부사업소,202201,897 ,북구 대학로15길 5 (산격동) / 1400번지,지하-공도,용역,산격동 1400 마실커피경북대점,2021-12-09 11:17,,2021-12-09 14:00,급수관,북구,0520,49,공도,80 ,닥타일관,직관,노후,,179일,"8,592 ",생활용수,미입력,35.8924778,128.6081132,1100008.969,1766774.775
71,20211129-0033,북부사업소,202201,873 ,북구 연암공원로 55-31 (산격동) / 1169-17번지,지상-사유지,,산격동 1169-17,2021-11-29 09:16,,2021-11-29 11:30,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,미입력,35.8958043,128.5984805,1099135.421,1767133.931
72,20211119-0076,북부사업소,202201,838 ,북구 산격로14길 42-4 (산격동) / 1306-40번지,지상-사유지,,산격동 1306-40,2021-11-19 10:13,,2021-11-19 12:30,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,미입력,35.8958864,128.609751,1100152.495,1767154.531
73,20211104-0222,북부사업소,202201,801 ,북구 연암공원로8길 20-1 (산격동) / 1102-7번지,지상-사유지,,산격동 1102-7,2021-11-04 11:03,,2021-11-04 13:00,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,부식,,,,생활용수,미입력,35.8933961,128.5981002,1099104.101,1766866.43
74,20211019-0055,북부사업소,202201,761 ,북구 대학로25길 36-1 (산격동) / 1311-73번지,지하-공도,용역,산격동 1311-73,2021-10-19 09:49,,2021-10-19 13:00,급수관,북구,0520,48,공도,15 ,부분기대,부분기대,노후,,153일,"3,672 ",생활용수,입력,35.8956068,128.6083654,1100027.795,1767122.099
75,20211019-0052,북부사업소,202201,760 ,"북구 산격로14길 47 (산격동,동남빌) / 1305-4번지",지하-공도,용역,산격동 1305-4,2021-10-19 09:49,,2021-10-19 12:00,급수관,북구,0520,49,공도,15 ,부분기대,부분기대,노후,,153일,"3,672 ",생활용수,입력,35.8961783,128.6104866,1100218.516,1767187.663
76,20211018-0313,북부사업소,202201,759 ,북구 연암공원로 31-17 (산격동) / 878-2번지,지상-사유지,,산격동 878-2,2021-10-18 13:46,,2021-10-18 14:30,급수관,북구,0520,46-1,사유지,15 ,스텐레스관,직관,노후,,,0 ,생활용수,미입력,35.8941516,128.5977038,1099067.383,1766949.827
77,20211015-0202,북부사업소,202201,754 ,북구 연암공원로10길 31-7 (산격동) / 1436-4번지,지상-사유지,,산격동 1436-4,2021-10-15 14:15,,2021-10-15 17:30,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,,미입력,35.894599,128.6015951,1099418.025,1767003.405
78,20211006-0268,북부사업소,202110,737 ,북구 연암공원로 22-13 (산격동) / 1099-51번지,노후관교체공사,,산격동 1099-51,2021-10-06 13:29,,2021-10-07 15:30,배수지관,북구,0520,46-1,,,,,,,,,생활용수,미입력,35.8927943,128.5978675,1099083.849,1766799.443
79,20210924-0430,북부사업소,202109,714 ,북구 연암공원로20길 26-12 (산격동) / 1190-14번지,지상-공도,,연암공원로20길 26-12 (산격동) / 1190-14번지,2021-09-24 16:14,,2021-09-24 18:00,급수관,북구,0520,24-3,공도,15 ,스텐레스관,이형관,노후,,5시간,0 ,,입력,35.8980537,128.6037615,1099609.22,1767388.804
