wkt_geom,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,FNS_YMD,WTP_CDE,RMK_TXT
"MultiLineString ((1099695.03801449993625283 1767380.52019770001061261, 1099689.69282400002703071 1767379.84214810002595186))",SA002,106801,2723063100,35803045,54000,19921224,,1,13,10,,0,0,1.80001E+12,1,13-92,106801,SA006,,75078,B,243,520,P0,0,19921224,SS002,
"MultiLineString ((1099763.93182220007292926 1767399.46306866989471018, 1099760.44330379995517433 1767396.78538763010874391))",SA002,211642,2723063100,35803045,54000,19930611,,1,13,7,,0,0,1.80001E+12,1,,211642,SA006,,81672,B,243,520,P0,0,,,
"MultiLineString ((1099724.21542507992126048 1767189.77112454990856349, 1099720.89718073001131415 1767189.49966015992686152))",SA002,106562,2723063100,35803045,54000,19910514,,1,13,6,,0,0,1.80001E+12,1,,106562,SA006,,163941,B,470,520,P0,0,,,
"MultiLineString ((1099709.99747613002546132 1767224.98632250004447997, 1099713.4783831899985671 1767226.85599329997785389))",SA002,143137,2723063100,35803045,54000,20140204,,1,20,4,,0,0,2.01401E+12,1,20-14,143137,SA006,,14765,B,470,520,P0,0,,,
"MultiLineString ((1099706.90224391990341246 1767230.75013301009312272, 1099703.71090814005583525 1767229.03681716998107731))",SA002,211449,2723063100,35803045,54000,19930818,,1,13,8,,0,0,1.80001E+12,1,,211449,SA006,,143374,B,470,520,P0,0,,,
"MultiLineString ((1099702.71367882005870342 1767208.18832680000923574, 1099704.89386669010855258 1767204.28023732989095151))",SA002,177337,2723063100,35803045,54000,19930716,,1,13,7,,0,0,1.80001E+12,1,,177337,SA006,,209813,B,470,520,P0,0,,,
"MultiLineString ((1099720.61891756998375058 1767205.20764164999127388, 1099716.042171869892627 1767202.75034330994822085))",SA002,177338,2723063100,35803045,54000,19901029,,1,13,7,,0,0,1.80001E+12,1,,177338,SA006,,163942,B,470,520,P0,0,,,
"MultiLineString ((1099738.49124079989269376 1767205.74625248997472227, 1099735.53652493003755808 1767205.71826950996182859))",SA002,177339,2723063100,35803045,54000,20180413,,1,25,5,,0,0,2.01803E+12,1,25-18,177339,SA006,,183521,B,470,520,P0,0,,,
"MultiLineString ((1099703.58513318002223969 1767208.67453087004832923, 1099701.18501855991780758 1767212.97719556000083685))",SA002,72444,2723063100,35803045,54000,19930716,,1,13,7,,0,0,1.80001E+12,1,,72444,SA006,,8226,B,470,520,P0,0,,,
"MultiLineString ((1099657.25733476993627846 1767214.84467969997785985, 1099658.62623104988597333 1767217.20009151007980108))",SA002,177336,2723063100,35803045,54000,19920506,,1,13,10,,0,0,1.80001E+12,1,,177336,SA006,,190027,B,470,520,P0,0,,,
"MultiLineString ((1099707.90960321994498372 1767228.87381895002909005, 1099691.69661868992261589 1767220.66125122993253171))",SA002,211450,2723063100,35803045,54000,19940516,,1,13,30,,0,0,1.80001E+12,1,,211450,SA006,,75112,B,470,520,P0,0,,,
"MultiLineString ((1099723.91947678988799453 1767193.38399662007577717, 1099719.76340446993708611 1767193.04368992010131478))",SA002,211452,2723063100,35803045,54000,19920728,,1,13,8,,0,0,1.80001E+12,1,,211452,SA006,,61788,B,470,520,P0,0,,,
