FTR_IDN,lithoidx,lithoname,K_SOIL
436993,Km6,하양층군함안층,1.0
437122,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
437815,Km6,하양층군함안층,1.0
437816,Km6,하양층군함안층,1.0
437817,Km6,하양층군함안층,1.0
437818,Km6,하양층군함안층,1.0
439264,Km6,하양층군함안층,1.0
439266,Km6,하양층군함안층,1.0
439267,Km6,하양층군함안층,1.0
439268,Km6,하양층군함안층,1.0
439842,Km6,하양층군함안층,1.0
439844,Km6,하양층군함안층,1.0
439845,Km6,하양층군함안층,1.0
439847,Km6,하양층군함안층,1.0
439848,Km6,하양층군함안층,1.0
439856,Km6,하양층군함안층,1.0
439876,Km6,하양층군함안층,1.0
439877,Km6,하양층군함안층,1.0
439878,Km6,하양층군함안층,1.0
439879,Km6,하양층군함안층,1.0
440011,Km6,하양층군함안층,1.0
440012,Km6,하양층군함안층,1.0
440291,Km6,하양층군함안층,1.0
440580,Km6,하양층군함안층,1.0
440581,Km6,하양층군함안층,1.0
442730,Km6,하양층군함안층,1.0
442731,Km6,하양층군함안층,1.0
443322,Km6,하양층군함안층,1.0
443336,Km6,하양층군함안층,1.0
443629,Km6,하양층군함안층,1.0
447922,Km6,하양층군함안층,1.0
448269,Km6,하양층군함안층,1.0
448649,Km6,하양층군함안층,1.0
450436,Km6,하양층군함안층,1.0
452801,Km6,하양층군함안층,1.0
452817,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
455022,Km6,하양층군함안층,1.0
456171,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
459327,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
459328,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
459332,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
459333,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
459335,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
459336,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
461744,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
461919,Km6,하양층군함안층,1.0
463596,Km6,하양층군함안층,1.0
463668,Qa,충적층,1.3
463697,Qa,충적층,1.3
465916,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
465919,Km6,하양층군함안층,1.0
470705,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
470706,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
470707,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
470708,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
470709,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
470710,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
470711,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
470712,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
470713,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
470714,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
470715,Km6,하양층군함안층,1.0
471694,Qa,충적층,1.3
472853,Km6,하양층군함안층,1.0
477327,Km6,하양층군함안층,1.0
478285,Km6,하양층군함안층,1.0
